id,name,img,grade,section,roll_no,address,avg_grades,behavioral,attendance,extracurricular,parent_name,parent_phone,parent_email,created_at,search_vector
02c895c6-35ce-4eed-8aae-32f5dfdf4f81,Sunil Gurung,,5,V,48,Bhaktapur,71.56,42.61,75.95,71.65,Dipesh KC,9850916587,dipesh75@gmail.com,2025-01-30 16:18:43.637737,'gurung':2 'sunil':1
039820d7-7371-458e-9e95-55a360887cc2,Pooja KC,,11,S,50,Butwal,67.49,98.59,73.59,45.89,Sunil Rai,9854734965,sunil56@gmail.com,2025-01-30 16:18:43.637737,'kc':2 'pooja':1
03abee93-0193-44a8-91ca-f9d738b92f76,Aarati Thapa,,11,S,14,Hetauda,64.45,56.93,69.91,80.05,Suman Shrestha,9847091649,suman55@gmail.com,2025-01-30 16:18:43.637737,'aarati':1 'thapa':2
03aee2b3-e690-4924-bdf9-5e11cc9277f2,Dipesh Lama,,11,V,24,Pokhara,67.81,40.07,95.58,51.02,Aarati Shah,9862655203,aarati8@gmail.com,2025-01-30 16:18:43.637737,'dipesh':1 'lama':2
0425b4f4-b35c-4a6c-b75a-d898938bad0d,Dipesh Thapa,,11,E,25,Kathmandu,71.06,52.27,60.23,71.36,Kiran Gurung,9854851624,kiran74@gmail.com,2025-01-30 16:18:43.637737,'dipesh':1 'thapa':2
043313ba-beda-41a4-9a81-c8ef71a81509,Aarati Gurung,,5,W,10,Pokhara,73.31,68.72,76.82,39.27,Pooja Bista,9864927254,pooja3@gmail.com,2025-01-30 16:18:43.637737,'aarati':1 'gurung':2
04455bb2-16f5-4ae2-b9c1-b4d055b44f04,Pooja Lama,,5,X,45,Janakpur,67.59,66.96,79.16,32.87,Kiran Shrestha,9844442346,kiran18@gmail.com,2025-01-30 16:18:43.637737,'lama':2 'pooja':1
045aa03e-e05d-4907-aef7-8e8eaa2adea4,Ramesh Lama,,8,R,38,Bhaktapur,70.48,43.37,88.81,64.26,Aarati KC,9843031757,aarati20@gmail.com,2025-01-30 16:18:43.637737,'lama':2 'ramesh':1
04ce561f-f148-47a6-bd96-8103f220a1ad,Suman Tamang,,5,A,43,Kathmandu,72.45,43.35,60.26,86.07,Ramesh KC,9864529404,ramesh30@gmail.com,2025-01-30 16:18:43.637737,'suman':1 'tamang':2
04eb8e8c-d19e-4da1-adae-33e2dcd5de74,Aarati Dhakal,,2,G,24,Nepalgunj,61.58,50.33,93.28,68.76,Ramesh KC,9819609431,ramesh32@gmail.com,2025-01-30 16:18:43.637737,'aarati':1 'dhakal':2
05792779-8301-45a2-ba90-92129ad6df3a,Anisha Lama,,6,F,34,Nepalgunj,69.82,60.42,77.9,79.44,Dipesh Gurung,9863316591,dipesh67@gmail.com,2025-01-30 16:18:43.637737,'anisha':1 'lama':2
05a0e0d3-e94a-4b0d-8a5a-1fe20fb94a73,Anisha Dhakal,,10,R,19,Dharan,63.31,36.3,79.51,38.8,Ramesh Thapa,9835705513,ramesh28@gmail.com,2025-01-30 16:18:43.637737,'anisha':1 'dhakal':2
05b9f593-ec01-4ea8-9c1b-360cd87d0ca3,Suman Maharjan,,2,Q,10,Kathmandu,68.78,92.44,87.74,67.05,Suman Shrestha,9844615611,suman7@gmail.com,2025-01-30 16:18:43.637737,'maharjan':2 'suman':1
05c9b41e-d33e-40ae-a7d4-c51a6217d62c,Sandesh Thapa,,5,H,1,Butwal,69.11,73.26,57.76,46.82,Sunil Maharjan,9822713806,sunil45@gmail.com,2025-01-30 16:18:43.637737,'sandesh':1 'thapa':2
0642e0a5-9f62-468e-b48b-f10f0b0bc095,Sandesh Bista,,10,X,21,Hetauda,74.49,74.0,52.14,42.96,Ramesh Thapa,9810592060,ramesh83@gmail.com,2025-01-30 16:18:43.637737,'bista':2 'sandesh':1
0698a93f-e7fb-4914-ba58-d7d4526324c1,Sneha Thapa,,10,H,36,Dharan,66.63,91.29,98.35,56.25,Sunil Dhakal,9868817978,sunil1@gmail.com,2025-01-30 16:18:43.637737,'sneha':1 'thapa':2
06ba1b30-224a-47c6-82bb-a6a268d2e0cc,Ramesh Shah,,11,O,11,Nepalgunj,67.86,77.98,58.46,68.46,Anisha Shrestha,9833260150,anisha87@gmail.com,2025-01-30 16:18:43.637737,'ramesh':1 'shah':2
06d5f3cf-05bf-4b18-8dab-d85c3f00d30a,Kiran Rai,,3,B,31,Kathmandu,75.67,46.35,55.68,24.55,Dipesh KC,9875809856,dipesh29@gmail.com,2025-01-30 16:18:43.637737,'kiran':1 'rai':2
